City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namibe,-15.1961,12.1522,75.29,44,0,10.22,AO,1623026179
1,chokurdakh,70.6333,147.9167,41.27,60,76,5.68,RU,1623026179
2,mataura,-46.1927,168.8643,49.48,65,0,3.78,NZ,1623026180
3,cape town,-33.9258,18.4232,68.0,34,0,16.11,ZA,1623025899
4,katsuura,35.1333,140.3,73.42,85,94,2.64,JP,1623026180
5,koslan,63.4564,48.8989,42.89,55,0,9.33,RU,1623026181
6,port macquarie,-31.4333,152.9167,61.38,53,9,3.83,AU,1623026181
7,sitka,57.0531,-135.33,53.49,71,90,6.91,US,1623026182
8,houma,29.5958,-90.7195,80.01,85,75,6.91,US,1623026182
9,roma,43.2128,-75.4557,86.14,59,1,4.61,US,1623026183
10,atuona,-9.8,-139.0333,80.46,62,1,8.46,PF,1623025966
11,hasaki,35.7333,140.8333,73.8,79,99,4.29,JP,1623026183
12,camana,-16.6228,-72.7111,63.3,85,64,6.08,PE,1623026184
13,avarua,-21.2078,-159.775,75.25,64,75,5.75,CK,1623026184
14,tura,25.5198,90.2201,74.75,95,52,6.35,IN,1623026185
15,florianopolis,-27.6146,-48.5012,66.43,89,75,1.99,BR,1623025994
16,rikitea,-23.1203,-134.9692,76.5,85,100,16.64,PF,1623026185
17,ribeira grande,38.5167,-28.7,64.94,88,100,8.75,PT,1623026186
18,hermanus,-34.4187,19.2345,57.0,58,2,5.01,ZA,1623026187
19,stromness,58.965,-3.296,50.25,74,100,8.72,GB,1623026187
20,padang,-0.9492,100.3543,80.29,69,30,2.28,ID,1623026187
21,nabire,-3.3667,135.4833,80.67,85,57,1.74,ID,1623026188
22,starosubkhangulovo,53.1031,57.4423,51.44,68,13,2.3,RU,1623026188
23,busselton,-33.65,115.3333,55.11,68,7,4.76,AU,1623026189
24,nikolskoye,59.7035,30.7861,57.2,77,0,4.47,RU,1623026189
25,bengkulu,-3.8004,102.2655,76.87,85,28,3.27,ID,1623026190
26,port alfred,-33.5906,26.891,63.03,35,0,8.99,ZA,1623026190
27,sembe,1.6481,14.5806,71.04,95,100,1.19,CG,1623026191
28,mangan,27.5167,88.5333,74.16,95,100,1.01,IN,1623026191
29,porto novo,6.4965,2.6036,82.22,84,45,6.33,BJ,1623026192
30,thompson,55.7435,-97.8558,57.36,88,90,5.75,CA,1623026036
31,puerto wilches,7.3483,-73.896,75.9,96,100,0.45,CO,1623026192
32,lebu,-37.6167,-73.65,48.09,81,100,6.67,CL,1623026193
33,isangel,-19.55,169.2667,75.31,64,75,11.03,VU,1623026193
34,vaini,-21.2,-175.2,78.96,78,75,13.8,TO,1623026194
35,kapaa,22.0752,-159.319,82.72,70,75,3.0,US,1623026194
36,adrar,20.5022,-10.0711,91.24,13,0,16.84,MR,1623026195
37,bartica,6.4,-58.6167,79.12,99,51,2.59,GY,1623026195
38,cabo san lucas,22.8909,-109.9124,98.82,37,1,5.75,MX,1623026195
39,vao,-22.6667,167.4833,70.0,63,22,15.64,NC,1623026196
40,acapulco,16.8634,-99.8901,87.8,70,75,6.91,MX,1623025940
41,lufkin,31.3382,-94.7291,86.11,74,1,6.51,US,1623026197
42,kodiak,57.79,-152.4072,66.2,30,1,12.66,US,1623026198
43,san cristobal,7.7669,-72.225,73.58,99,100,1.48,VE,1623026198
44,bethel,41.3712,-73.414,84.2,51,1,8.05,US,1623026199
45,wattegama,6.7989,81.4808,74.32,81,100,3.33,LK,1623026199
46,albany,42.6001,-73.9662,81.01,71,45,3.15,US,1623026199
47,saint-augustin,51.226,-58.6502,49.01,70,100,12.82,CA,1623026200
48,birecik,37.0294,37.9903,67.21,44,0,5.99,TR,1623026200
49,punta arenas,-53.15,-70.9167,39.31,81,0,11.18,CL,1623026136
